Ticker,Name,Weight,Shares,Price
AMZN UW Equity,Amazon.com Inc,30.37761,8749.984,142.69
TSLA UW Equity,Tesla Inc,18.030049,839.1681,883.07
HD UN Equity,Home Depot Inc/The,7.833873,1033.366,311.58
MCD UN Equity,McDonald's Corp,4.702813,739.547,261.36
NKE UN Equity,NIKE Inc,3.492597,1268.76,113.14
LOW UN Equity,Lowe's Cos Inc,3.240096,661.121,201.43
SBUX UW Equity,Starbucks Corp,2.413483,1146.9,86.49
BKNG UW Equity,Booking Holdings Inc,2.000179,40.623,2023.6899
TGT UN Equity,Target Corp,1.908941,462.418,169.67
TJX UN Equity,TJX Cos Inc/The,1.801062,1174.434,63.03
F UN Equity,Ford Motor Co,1.489231,3948.913,15.5
DG UN Equity,Dollar General Corp,1.416056,228.785,254.39
GM UN Equity,General Motors Co,1.34626,1458.023,37.95
ORLY UW Equity,O'Reilly Automotive Inc,1.151101,65.725,719.83
CMG UN Equity,Chipotle Mexican Grill Inc,1.128188,27.962,1658.29
MAR UW Equity,Marriott International Inc/MD,1.07857,274.93032,161.24
AZO UN Equity,AutoZone Inc,1.073702,19.849,2223.27
DLTR UW Equity,Dollar Tree Inc,0.909028,225.11,165.97
HLT UN Equity,Hilton Worldwide Holdings Inc,0.905143,278.332,133.66
YUM UN Equity,Yum! Brands Inc,0.826896,285.164,119.18
ROST UW Equity,Ross Stores Inc,0.736803,351.392,86.18
APTV UN Equity,Aptiv PLC,0.694326,270.931,105.33
EBAY UW Equity,eBay Inc,0.660633,559.842,48.5
DHI UN Equity,DR Horton Inc,0.611224,320.3473,78.42
LEN UN Equity,Lennar Corp,0.549201,258.621,87.28
GPC UN Equity,Genuine Parts Co,0.533851,141.595,154.96
TSCO UW Equity,Tractor Supply Co,0.523471,111.882,192.3
ULTA UW Equity,Ulta Beauty Inc,0.484752,52.227,381.48
EXPE UW Equity,Expedia Group Inc,0.402828,151.574,109.23
DRI UN Equity,Darden Restaurants Inc,0.394167,124.734,129.88
KMX UN Equity,CarMax Inc,0.390677,160.538,100.02
BBY UN Equity,Best Buy Co Inc,0.38676,202.4712,78.51
POOL UW Equity,Pool Corp,0.372927,40.074,382.48
GRMN UN Equity,Garmin Ltd,0.364973,152.56875,98.32
VFC UN Equity,VF Corp,0.362446,322.78866,46.15
ETSY UW Equity,Etsy Inc,0.361558,127.119,116.9
DPZ UN Equity,Domino's Pizza Inc,0.355841,36.045,405.75
LKQ UW Equity,LKQ Corp,0.347887,260.20636,54.95
NVR UN Equity,NVR Inc,0.330625,3.0926,4393.9902
LVS UN Equity,Las Vegas Sands Corp,0.306616,343.84905,36.65
MGM UN Equity,MGM Resorts International,0.296661,353.62316,34.48
AAP UN Equity,Advance Auto Parts Inc,0.289383,61.091,194.69
PHM UN Equity,PulteGroup Inc,0.255142,237.627,44.13
CZR UW Equity,Caesars Entertainment Inc,0.252438,214.366,48.4
HAS UW Equity,Hasbro Inc,0.250188,131.07548,78.45
CCL UN Equity,Carnival Corp,0.245569,976.11284,10.34
BWA UN Equity,BorgWarner Inc,0.228205,239.575,39.15
WHR UN Equity,Whirlpool Corp,0.227868,56.202,166.64
RCL UN Equity,Royal Caribbean Cruises Ltd,0.227525,224.36128,41.68
BBWI UN Equity,Bath & Body Works Inc,0.216669,238.49,37.34
TPR UN Equity,Tapestry Inc,0.210996,251.802,34.44
NWL UW Equity,Newell Brands Inc,0.183647,368.015,20.51
WYNN UW Equity,Wynn Resorts Ltd,0.16779,105.52815,65.35
MHK UN Equity,Mohawk Industries Inc,0.15565,51.46659,124.3
PENN UW Equity,Penn Entertainment Inc,0.142147,163.46694,35.74
NCLH UN Equity,Norwegian Cruise Line Holdings Ltd,0.138271,419.101,13.56
PVH UN Equity,PVH Corp,0.107837,67.522,65.64
RL UN Equity,Ralph Lauren Corp,0.107571,46.286,95.52